X,Y,OBJECTID,name,coordinate,total_slot,operative,id
24.881250199936801,60.150660000258881,50,Itälahdenkatu,"60.15066,24.8812502",12,Yes,051
24.879315900308598,60.15407629988141,51,Heikkilänaukio,"60.1540763,24.8793159",20,Yes,052
24.88506530032339,60.156817000004594,52,Heikkiläntie,"60.156817,24.8850653",13,Yes,053
24.876665799686975,60.158384199970897,53,Gyldenintie,"60.1583842,24.8766658",27,Yes,054
24.859866268713404,60.161695961499504,54,Puistokaari,"60.16169596138,24.85986626853",16,Yes,055
24.860199200432817,60.165448499648619,55,Luoteisväylä,"60.1654485,24.8601992",12,Yes,056
24.881544100180122,60.160330599977272,56,Lauttasaaren,"60.1603306,24.8815441",26,Yes,057
24.892638600091345,60.161551200327665,57,Lauttasaarensilta,"60.1615512,24.8926386",20,Yes,058
24.900960803098656,60.164781380756153,58,Salmisaarenranta,"60.16478138043,24.90096080349",16,Yes,059
24.905336000356158,60.163249300215114,59,Porkkalankatu,"60.1632493,24.905336",42,Yes,060
24.909691999785991,60.15892760002879,60,Länsisatamankatu,"60.1589276,24.909692",16,Yes,061
24.915873399937482,60.161090099928231,61,Messitytönkatu,"60.1610901,24.9158734",18,Yes,062
24.921489599565405,60.161931100040306,62,Jätkäsaarenlaituri,"60.1619311,24.9214896",25,Yes,063
24.921746400076358,60.156525500051828,63,Tyynenmerenkatu,"60.1565255,24.9217464",30,Yes,064
24.931475499794544,60.154650499920706,64,Hylkeenpyytäjänkatu,"60.1546505,24.9314755",33,Yes,065
24.95912710043541,60.155308999710599,65,Ehrenströmintie,"60.155309,24.9591271",20,Yes,066
24.933834286623096,60.159977250949453,66,Perämiehenkatu,"60.15997725117,24.93383428634",16,Yes,067
24.936817899926211,60.161835899607127,67,Albertinkatu,"60.1618359,24.9368179",20,Yes,068
24.931432299960704,60.165696199919751,68,Kalevankatu,"60.1656962,24.9314323",16,Yes,069
24.922411200516535,60.173147299808079,69,Sammonpuistikko,"60.1731473,24.9224112",14,Yes,070
24.91140599968719,60.17262999987463,70,Hietaniemenkatu,"60.172630,24.911406",28,Yes,071
24.916021600116778,60.175633200411937,71,Eteläinen,"60.1756332,24.9160216",18,Yes,072
24.913250400385721,60.179296700282521,72,Kesäkatu,"60.1792967,24.9132504",14,Yes,073
24.911127000310842,60.183136999672854,73,Rajasaarentie,"60.183137,24.911127",17,Yes,074
