FID,id,tyyppi,nimi,teksti,kiinnitys,kuvaus_pvm,katselusuunta,x,y,z,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_liikennemerkit.6792,6792,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,23.10.2015,340,25492451.153,6671999.636,26.802,Helsinki/MAKA,2018-11-20,POINT (6671999.636 25492451.153)
liikennemerkkipilotti_liikennemerkit.6793,6793,511,Suojatie,,Trafficlight,05.10.2015,112,25495696.541,6673995.589,19.623,Helsinki/MAKA,2018-11-20,POINT (6673995.589 25495696.541)
liikennemerkkipilotti_liikennemerkit.6794,6794,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,23.10.2015,27,25492423.399,6672017.026,25.431,Helsinki/MAKA,2018-11-20,POINT (6672017.026 25492423.399)
liikennemerkkipilotti_liikennemerkit.6795,6795,231,Väistämisvelvollisuus risteyksessä,,Trafficlight,21.10.2015,75,25495675.574,6673459.057,16.424,Helsinki/MAKA,2018-11-20,POINT (6673459.057 25495675.574)
liikennemerkkipilotti_liikennemerkit.6796,6796,363_40,N/A,,Trafficlight,21.10.2015,75,25495675.533,6673459.038,15.718,Helsinki/MAKA,2018-11-20,POINT (6673459.038 25495675.533)
liikennemerkkipilotti_liikennemerkit.6797,6797,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,23.10.2015,280,25492407.515,6672008.056,24.304,Helsinki/MAKA,2018-11-20,POINT (6672008.056 25492407.515)
liikennemerkkipilotti_liikennemerkit.6798,6798,Unclassified,Luokittelematon,,Pole,23.10.2015,281,25492407.579,6672008.065,24.788,Helsinki/MAKA,2018-11-20,POINT (6672008.065 25492407.579)
liikennemerkkipilotti_liikennemerkit.6799,6799,372,Pysäköinti kielletty,,Pole,05.10.2015,276,25495689.184,6674008.337,20.832,Helsinki/MAKA,2018-11-20,POINT (6674008.337 25495689.184)
liikennemerkkipilotti_liikennemerkit.6800,6800,363_30,N/A,,Wall,20.10.2015,257,25495672.472,6673473.367,15.644,Helsinki/MAKA,2018-11-20,POINT (6673473.367 25495672.472)
liikennemerkkipilotti_liikennemerkit.6801,6801,372,Pysäköinti kielletty,,Wall,20.10.2015,257,25495672.581,6673473.345,14.976,Helsinki/MAKA,2018-11-20,POINT (6673473.345 25495672.581)
liikennemerkkipilotti_liikennemerkit.6802,6802,855a,Maksullinen pysäköinti,9-21,Wall,20.10.2015,257,25495672.524,6673473.42,14.55,Helsinki/MAKA,2018-11-20,POINT (6673473.42 25495672.524)
liikennemerkkipilotti_liikennemerkit.6803,6803,Unclassified,Luokittelematon,,Wall,20.10.2015,257,25495672.534,6673473.406,14.384,Helsinki/MAKA,2018-11-20,POINT (6673473.406 25495672.534)
liikennemerkkipilotti_liikennemerkit.6804,6804,372,Pysäköinti kielletty,,Pole,23.10.2015,27,25492391.115,6672053.632,24.044,Helsinki/MAKA,2018-11-20,POINT (6672053.632 25492391.115)
