FID,alue_id,liikennemerkki_idt,liikennemerkkityypit,liikennemerkkien_nimet,liikennemerkkien_tekstit,pyspaikkojen_lukumaara_arvio,pysakointisuunta,pyspaikan_vaatima_noin_pituus,aluepysakointitunnus,lisatieto,keskilinjan_noin_pituus,ylre_katualue_nro,ylre_viheralue_nro,ylre_osa_nro,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_pysakointipaikat.3247,3247,"2785, 2787","521, 856b","Pysäköintipaikka, Pysäköintikiekon käyttövelvollisuus","no_text, 2h 8-20",14,Pitkittäin,5.4,,,77.06,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672198.75135864 25495420.9282098, 6672203.97218051 25495498.0010692, 6672206.31273929 25495497.8541658, 6672200.74542782 25495420.8499224, 6672198.75135864 25495420.9282098))"
liikennemerkkipilotti_pysakointipaikat.3715,3715,"18307, 18286, 18314, 18316, 18349","521, 541a, 872, 856b, Unclassified","Pysäköintipaikka, N/A, Tekstillinen lisäkilpi ""Huoltoajo sallittu"", Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, no_text, unreadable, no_text, no_text",5,Pitkittäin,5.4,,,32.34,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672438.66505483 25497199.4991092, 6672437.16366256 25497166.9593931, 6672435.10240867 25497167.1545449, 6672436.45381254 25497199.515189, 6672438.66505483 25497199.4991092))"
liikennemerkkipilotti_pysakointipaikat.4230,4230,"18195, 18198, 18184, 18185","551, 372, 855a, 872","Yksisuuntainen tie, Pysäköinti kielletty, Maksullinen pysäköinti, Tekstillinen lisäkilpi ""Huoltoajo sallittu""","no_text, no_text, 9-21, no_text",9,Pitkittäin,5.4,B,,53.8,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671582.59750263 25496436.6994688, 6671583.48122883 25496437.4626546, 6671584.2932853 25496438.3024839, 6671585.0265 25496439.211595, 6671586.27638922 25496440.7010371, 6671588.6258378 25496443.3917402, 6671590.61280896 25496445.3858534, 6671593.37274029 25496447.8373527, 6671595.80395395 25496449.7753947, 6671598.20868946 25496451.478851, 6671601.44369264 25496453.4703454, 6671604.02455362 25496454.8309146, 6671606.9539836 25496456.3120141, 6671610.74364406 25496458.2280401, 6671619.37275986 25496462.5908612, 6671627.17105921 25496466.5336272, 6671627.91937741 25496464.837713, 6671599.71280566 25496449.8832427, 6671597.41825192 25496448.3504338, 6671593.05680999 25496444.3292462, 6671589.03912281 25496440.4941812, 6671584.58314248 25496435.45381, 6671582.59750263 25496436.6994688))"
liikennemerkkipilotti_pysakointipaikat.2677,2677,"10862, 10870, 10865","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,119.14,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6670664.21321478 25493559.057722, 6670686.25252524 25493586.0781254, 6670688.20950467 25493584.2976737, 6670666.50362646 25493557.4049363, 6670664.21321478 25493559.057722)), ((6670691.6936914 25493592.7489213, 6670702.22201797 25493605.6248855, 6670704.22111354 25493603.9175325, 6670693.6218795 25493591.0631423, 6670691.6936914 25493592.7489213)), ((6670704.96275031 25493608.9742608, 6670708.89923225 25493613.7849294, 6670710.64830865 25493612.2616104, 6670706.58902752 25493607.4130246, 6670704.96275031 25493608.9742608)), ((6670712.88093557 25493618.6508618, 6670729.3704599 25493638.8022657, 6670731.39574548 25493636.9555705, 6670714.98948429 25493616.9410594, 6670712.88093557 25493618.6508618)), ((6670734.70618764 25493645.3229149, 6670744.72199388 25493657.5629621, 6670748.33943075 25493661.9837344, 6670749.43974489 25493663.7720001, 6670750.90582016 25493666.6487169, 6670752.1461978 25493669.4983675, 6670753.09567247 25493672.2685357, 6670753.8762968 25493675.0138933, 6670754.45479549 25493677.3674748, 6670758.06296729 25493677.0973505, 6670756.87901029 25493671.45946, 6670754.56747521 25493666.3289797, 6670751.63577218 25493662.1005619, 6670749.09872148 25493658.7742065, 6670736.92087812 25493643.721039, 6670734.70618764 25493645.3229149)))"
liikennemerkkipilotti_pysakointipaikat.3168,3168,"10949, 10955, 10942, 10941","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",11,Pitkittäin,5.4,E,,65.77,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6673395.79113363 25497688.6663546, 6673419.09676226 25497687.4439896, 6673418.99988191 25497685.5609198, 6673395.79113363 25497686.9488568, 6673395.79113363 25497688.6663546)), ((6673422.03785629 25497687.2959144, 6673452.39843623 25497685.7190283, 6673452.29210738 25497683.8807855, 6673422.03785629 25497685.3417718, 6673422.03785629 25497687.2959144)), ((6673459.15480059 25497685.3665441, 6673470.77809496 25497684.7727699, 6673470.70053485 25497683.0589807, 6673459.15480059 25497683.5520636, 6673459.15480059 25497685.3665441)))"
liikennemerkkipilotti_pysakointipaikat.2790,2790,"13892, 13922","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 8-17",,,,,,82.36,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671226.65700497 25493709.7076567, 6671221.39484208 25493681.8844481, 6671219.08928036 25493682.3236868, 6671224.05062387 25493710.1184862, 6671226.65700497 25493709.7076567)), ((6671220.31475872 25493676.1735981, 6671210.14129057 25493622.3822397, 6671207.92625747 25493622.6748068, 6671218.13272877 25493676.583108, 6671220.31475872 25493676.1735981)))"
liikennemerkkipilotti_pysakointipaikat.4039,4039,"782, 783, 784","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",14,Pitkittäin,5.4,B,,100.06,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672033.02234406 25496550.0766443, 6672031.05237622 25496551.2693363, 6672046.49326918 25496573.5809131, 6672048.3833882 25496572.2728422, 6672033.02234406 25496550.0766443)), ((6672050.23806043 25496574.9527819, 6672048.27556686 25496576.272515, 6672057.53026147 25496589.6452409, 6672059.47477432 25496588.2995263, 6672050.23806043 25496574.9527819)), ((6672063.38239717 25496593.8931034, 6672061.40407704 25496594.9287029, 6672070.69428045 25496608.1784104, 6672072.50736086 25496606.9071457, 6672063.38239717 25496593.8931034)), ((6672074.79833669 25496610.1745402, 6672072.88708437 25496611.3553922, 6672090.85805218 25496636.9836553, 6672092.6943976 25496635.6959791, 6672074.79833669 25496610.1745402)), ((6672094.0424699 25496637.6183973, 6672092.25797301 25496638.9304568, 6672098.49692449 25496647.7674296, 6672100.30601346 25496646.4902028, 6672094.0424699 25496637.6183973)))"
liikennemerkkipilotti_pysakointipaikat.2479,2479,"5735, 5750","856a, Unclassified","Pysäköintikiekon käyttövelvollisuus, Luokittelematon","4h 8-20, no_text",,,,,,33.96,1913,,112,Helsinki/MAKA,2018-11-20,"POLYGON ((6680752.955004 25491435.865648, 6680750.87747359 25491438.0948616, 6680748.76250557 25491440.2885882, 6680746.610706 25491442.446199, 6680744.42267922 25491444.5670876, 6680742.19906415 25491446.6506339, 6680739.940498 25491448.696241, 6680739.877776 25491449.380658, 6680742.475432 25491447.646301, 6680743.251492 25491446.938475, 6680745.89087562 25491444.4875876, 6680748.48636064 25491441.9902586, 6680751.03713 25491439.447274, 6680753.54238617 25491436.8594287, 6680756.00133486 25491434.2275429, 6680758.413202 25491431.552445, 6680763.608091 25491425.607459, 6680762.373631 25491425.586375, 6680752.955004 25491435.865648))"
liikennemerkkipilotti_pysakointipaikat.4122,4122,"12416, 12417, 12420","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",7,Pitkittäin,5.4,C,,38.4,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671758.86305639 25497677.6191358, 6671778.58127234 25497709.9444637, 6671779.91578845 25497709.3437115, 6671760.26564568 25497676.8004453, 6671758.86305639 25497677.6191358))"
liikennemerkkipilotti_pysakointipaikat.4333,4333,"16187, 16206","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 8-17",2,Pitkittäin,5.4,,,15.76,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6674293.74921186 25495915.5289791, 6674283.56358078 25495903.1069792, 6674281.80093509 25495904.5522907, 6674291.96033347 25495916.9422982, 6674293.74921186 25495915.5289791))"
