FID,alue_id,liikennemerkki_idt,liikennemerkkityypit,liikennemerkkien_nimet,liikennemerkkien_tekstit,pyspaikkojen_lukumaara_arvio,pysakointisuunta,pyspaikan_vaatima_noin_pituus,aluepysakointitunnus,lisatieto,keskilinjan_noin_pituus,ylre_katualue_nro,ylre_viheralue_nro,ylre_osa_nro,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_pysakointipaikat.4660,4660,"8815, 8813, 8823, 8816, 8802, 8804, 8777, 8781","677, 855b, Unclassified, 521c, 677, 855b, Unclassified, 521c","Pysäköinti, Maksullinen pysäköinti, Luokittelematon, N/A, Pysäköinti, Maksullinen pysäköinti, Luokittelematon, N/A","no_text, 9-21, no_text, no_text, no_text, 9-21, no_text, no_text",4,Poikittain,3.5,F,,16.72,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673689.70912527 25495739.0870561, 6673693.929635 25495758.1537697, 6673698.1510539 25495755.3732614, 6673693.59190316 25495735.9420576, 6673689.70912527 25495739.0870561))"
liikennemerkkipilotti_pysakointipaikat.3589,3589,"7440, 7444, 7422","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",23,Pitkittäin,5.4,A,,135.5,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672537.48077314 25496164.1965921, 6672528.37811943 25496151.2581641, 6672526.39603776 25496152.6526305, 6672535.50088508 25496165.5941764, 6672537.48077314 25496164.1965921)), ((6672524.89787307 25496146.3048833, 6672494.55568653 25496102.9655997, 6672492.51409076 25496104.3949376, 6672522.95413591 25496147.8739975, 6672524.89787307 25496146.3048833)), ((6672493.21447286 25496101.0591236, 6672475.95606744 25496076.6018388, 6672474.07006911 25496077.932703, 6672491.40494837 25496102.4983606, 6672493.21447286 25496101.0591236)), ((6672474.27684645 25496074.2226317, 6672452.26428243 25496043.0340932, 6672450.37194143 25496044.3696889, 6672472.44230231 25496075.640117, 6672474.27684645 25496074.2226317)))"
liikennemerkkipilotti_pysakointipaikat.4209,4209,"19351, 19337","371, 872","Pysäyttäminen kielletty, Tekstillinen lisäkilpi ""Huoltoajo sallittu""","no_text, Ei koske City Car Clubin autoja, Gäller ej City Car Clubs bilar",0,Pitkittäin,5.4,,,4.75,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671645.76663928 25496382.6924581, 6671646.19100364 25496387.6912295, 6671648.49565398 25496387.4955791, 6671648.01941407 25496382.462177, 6671648.01941407 25496382.462177, 6671645.76663928 25496382.6924581))"
liikennemerkkipilotti_pysakointipaikat.3665,3665,"14779, 14749, 14782, 14781","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21(9-18), 60min, no_text",8,Pitkittäin,5.4,C,,47.67,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672508.36854398 25497202.895625, 6672488.9019679 25497203.9719171, 6672489.05812132 25497206.053062, 6672508.41606866 25497204.9573291, 6672508.36854398 25497202.895625)), ((6672479.95458175 25497204.4666108, 6672451.629713 25497205.732216, 6672451.73015495 25497207.9158079, 6672480.0731118 25497206.4183063, 6672479.95458175 25497204.4666108)))"
liikennemerkkipilotti_pysakointipaikat.2943,2943,"18654, 18646, 18672, 18671, 18670","152, 372, 855a, Unclassified, Unclassified","N/A, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, no_text, 9-21, no_text, no_text",,,,D,,125.77,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672682.39494397 25498099.008609, 6672685.52649636 25498173.976945, 6672687.45892737 25498173.9092894, 6672684.35433147 25498099.008609, 6672682.39494397 25498099.008609)), ((6672685.82031799 25498180.8837316, 6672687.97935788 25498231.6058656, 6672690.08870273 25498231.5086745, 6672687.71459998 25498180.8837316, 6672685.82031799 25498180.8837316)))"
liikennemerkkipilotti_pysakointipaikat.4626,4626,"20484, 20466, 20478","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",9,Pitkittäin,5.4,F,,49.2,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673386.86902671 25496222.5373818, 6673412.924541 25496237.854411, 6673429.08042785 25496248.0216697, 6673430.36212149 25496246.1084474, 6673416.11383549 25496237.5482124, 6673405.58249367 25496231.0717187, 6673387.89885018 25496220.6530116, 6673386.86902671 25496222.5373818))"
liikennemerkkipilotti_pysakointipaikat.3179,3179,"11461, 11505, 11469","Unclassified, 372, 851","Luokittelematon, Pysäköinti kielletty, Voimassaoloaika","no_text, no_text, 7-18(9-15)",2,Pitkittäin,5.4,,,11.75,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673117.17887925 25497772.8740571, 6673105.92019159 25497770.1279591, 6673105.50222595 25497772.0300991, 6673116.80399553 25497774.5532482, 6673117.17887925 25497772.8740571))"
liikennemerkkipilotti_pysakointipaikat.4190,4190,"19861, 19875, 19874, 19799","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",10,Pitkittäin,5.4,B,,57.64,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671842.95551555 25496350.9044924, 6671898.43655775 25496334.1542531, 6671897.78180875 25496331.9855582, 6671842.39580666 25496348.7071041, 6671842.95551555 25496350.9044924))"
liikennemerkkipilotti_pysakointipaikat.3432,3432,"3606, 3607, 3608, 3596","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-19, no_text, no_text",6,Pitkittäin,5.4,A,,35.09,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672036.88034736 25495853.6498346, 6672051.23146142 25495843.7112017, 6672049.86236858 25495841.7342691, 6672035.53204242 25495851.6585056, 6672036.88034736 25495853.6498346)), ((6672059.04006754 25495838.2825062, 6672074.09433739 25495827.8109195, 6672072.77507265 25495825.9143046, 6672057.68383303 25495836.4116071, 6672059.04006754 25495838.2825062)))"
liikennemerkkipilotti_pysakointipaikat.4082,4082,"10045, 10119, 10122, 10087","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",28,Pitkittäin,5.4,C,,157.63,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671621.26663808 25497208.0071334, 6671662.95134981 25497307.6690583, 6671664.7770918 25497306.9906025, 6671623.17576724 25497207.7537291, 6671621.26663808 25497208.0071334)), ((6671665.26581932 25497313.1915048, 6671684.35307687 25497358.7913813, 6671685.88821172 25497358.2709008, 6671666.96855753 25497312.5057913, 6671665.26581932 25497313.1915048)))"
liikennemerkkipilotti_pysakointipaikat.3583,3583,"15403, 4156","372, Unclassified","Pysäköinti kielletty, Luokittelematon","no_text, no_text",26,Pitkittäin,5.4,,,143.39,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6673682.99837775 25497071.3460986, 6673686.66524366 25497056.5936038, 6673690.42388903 25497041.4718629, 6673693.93902532 25497027.329805, 6673692.42163313 25497026.9874838, 6673681.50082888 25497070.9994205, 6673682.99837775 25497071.3460986)), ((6673696.07579433 25497018.7331793, 6673719.59496671 25496924.1111024, 6673717.45912916 25496923.6142188, 6673694.50352558 25497018.3677185, 6673696.07579433 25497018.7331793)))"
liikennemerkkipilotti_pysakointipaikat.2664,2664,"10765, 10769, 10770","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,83.58,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6670537.71809572 25493584.3102195, 6670550.21019718 25493581.662021, 6670552.033062 25493581.275591, 6670553.95143841 25493580.920229, 6670555.82615662 25493580.3799681, 6670557.639441 25493579.6599307, 6670559.374095 25493578.766946, 6670560.69386519 25493578.1689057, 6670562.1270974 25493577.5564805, 6670563.44143574 25493577.0971733, 6670564.25305948 25493576.8135442, 6670563.7530731 25493574.8401125, 6670555.97278429 25493578.110089, 6670537.49932544 25493582.1790127, 6670537.71809572 25493584.3102195)), ((6670571.26895618 25493575.2026868, 6670594.25472386 25493570.220103, 6670593.74665027 25493567.8491284, 6670570.80043616 25493573.2051243, 6670571.26895618 25493575.2026868)), ((6670607.89307375 25493567.2637424, 6670619.82709777 25493564.6768253, 6670619.4554307 25493562.6058903, 6670607.44672405 25493564.8610465, 6670607.89307375 25493567.2637424)), ((6670627.7861236 25493562.9515616, 6670648.18528505 25493558.5296719, 6670647.70126182 25493556.4605897, 6670627.40485622 25493561.0836599, 6670627.7861236 25493562.9515616)))"
liikennemerkkipilotti_pysakointipaikat.3011,3011,"6040, 6041","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 7-18",,,,,,101.89,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671564.010306 25492458.557812, 6671567.851671 25492451.52271, 6671572.64481039 25492443.9325191, 6671576.74052475 25492437.4467378, 6671575.2066244 25492436.3354941, 6671565.90410532 25492451.2759035, 6671562.66231836 25492457.8158564, 6671564.010306 25492458.557812)), ((6671590.22763053 25492417.9634419, 6671595.555748 25492411.150975, 6671593.50157859 25492409.2736204, 6671588.00463549 25492416.6310673, 6671590.22763053 25492417.9634419)), ((6671606.387533 25492399.251733, 6671608.823854 25492396.633092, 6671610.13968396 25492395.301222, 6671613.03735782 25492392.6057229, 6671616.16701455 25492389.6944267, 6671619.52476159 25492386.5709544, 6671622.95596157 25492383.379154, 6671625.25479214 25492381.2407161, 6671625.9099 25492380.631316, 6671630.46800435 25492376.9474982, 6671633.939898 25492374.069945, 6671636.85328061 25492371.8501311, 6671642.6175 25492367.665951, 6671647.91468772 25492364.080957, 6671653.05889648 25492360.7119382, 6671657.68973245 25492357.6313998, 6671659.87899916 25492356.1667742, 6671658.33731763 25492353.4303165, 6671638.83021701 25492366.3410854, 6671619.99966324 25492382.2399362, 6671604.21357025 25492397.6877558, 6671606.387533 25492399.251733)))"
liikennemerkkipilotti_pysakointipaikat.2928,2928,"4194, 17221, 17324, 17223","Unclassified, 372, 855a, Unclassified","Luokittelematon, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, no_text, 9-21, no_text",,,,D,,52.97,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672869.76890948 25498091.2873149, 6672872.0386109 25498144.9062508, 6672874.68432258 25498144.7808748, 6672872.38326915 25498091.2873149, 6672869.76890948 25498091.2873149))"
liikennemerkkipilotti_pysakointipaikat.3767,3767,"18998, 18999","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 7-18 (9-15)",2,Pitkittäin,5.4,,,10.84,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672358.98144286 25496917.9604479, 6672359.17756638 25496920.3100719, 6672359.60136045 25496929.0660298, 6672361.75222425 25496928.8783016, 6672361.3139311 25496917.8844485, 6672358.98144286 25496917.9604479))"
liikennemerkkipilotti_pysakointipaikat.2749,2749,5682,372,Pysäköinti kielletty,no_text,,,,N,,55.74,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6670735.16800514 25493241.1695632, 6670761.95313134 25493235.3135207, 6670789.54854546 25493229.4005474, 6670789.23802064 25493227.481597, 6670734.71962095 25493239.2365984, 6670735.16800514 25493241.1695632))"
liikennemerkkipilotti_pysakointipaikat.2776,2776,"15545, 15568","521, 856b","Pysäköintipaikka, Pysäköintikiekon käyttövelvollisuus","no_text, 15 min 7-17",,,,,,9.97,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6670973.27958109 25493882.3207802, 6670972.44016297 25493882.105964, 6670971.575135 25493882.05601, 6670970.25584975 25493882.1071456, 6670967.77344429 25493882.2033637, 6670965.00738521 25493882.3105763, 6670963.31766978 25493882.260696, 6670963.24181621 25493884.55129, 6670968.99246437 25493884.0156904, 6670972.06511461 25493883.7901748, 6670972.99536651 25493883.8747432, 6670973.27958109 25493882.3207802))"
liikennemerkkipilotti_pysakointipaikat.3916,3916,"20404, 20384, 20301, 20304","Unclassified, 372, 855a, Unclassified","Luokittelematon, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, no_text, 9-21, no_text",19,Pitkittäin,5.4,C,,106.58,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672026.662235 25497402.247425, 6672025.179761 25497400.133486, 6672024.226597 25497398.376192, 6672023.14011354 25497395.5969588, 6672017.53617321 25497378.8744225, 6672015.72663282 25497379.6239957, 6672022.75835826 25497399.1293143, 6672024.67511791 25497402.9996302, 6672026.662235 25497402.247425)), ((6672015.1470018 25497371.7449737, 6671989.27718876 25497294.5477053, 6671987.16452941 25497295.2525648, 6672013.46211823 25497372.3191099, 6672015.1470018 25497371.7449737)))"
liikennemerkkipilotti_pysakointipaikat.3804,3804,"15847, 15881","371, Unclassified","Pysäyttäminen kielletty, Luokittelematon","no_text, no_text",1,Pitkittäin,5.4,,,9.81,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672602.86360326 25496890.8549046, 6672613.01501136 25496890.4321759, 6672613.03344699 25496888.2266121, 6672602.86360326 25496888.3544476, 6672602.86360326 25496890.8549046))"
liikennemerkkipilotti_pysakointipaikat.3054,3054,"6574, 6567, 6568","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4 h 8-20, no_text",,,,N,,120.74,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6673034.58800018 25492114.1020572, 6673028.4812 25492111.529114, 6673023.607433 25492109.551176, 6673016.553997 25492106.986025, 6673015.80917621 25492109.1299566, 6673028.4944295 25492114.2322474, 6673033.87861479 25492116.3464562, 6673034.58800018 25492114.1020572)), ((6673010.727903 25492105.039342, 6673002.417593 25492102.464979, 6672993.625122 25492099.861737, 6672991.84795977 25492099.4077244, 6672991.14340592 25492102.0544042, 6673000.81238787 25492104.478697, 6673010.19947531 25492107.1848844, 6673010.727903 25492105.039342)), ((6672985.90337198 25492097.9049226, 6672980.266506 25492096.590213, 6672971.444088 25492094.608928, 6672963.748083 25492093.105491, 6672956.863002 25492091.823728, 6672956.329433 25492094.4714417, 6672965.66014153 25492095.6553986, 6672985.56189447 25492099.9965742, 6672985.90337198 25492097.9049226)), ((6672949.088893 25492090.573495, 6672931.01142477 25492087.9328746, 6672930.6770319 25492090.2148345, 6672948.83103883 25492092.7518851, 6672949.088893 25492090.573495)), ((6672923.24902965 25492087.0947926, 6672910.75480339 25492085.8052588, 6672910.60614225 25492088.4670885, 6672922.95312212 25492089.2000142, 6672923.24902965 25492087.0947926)), ((6672906.67958765 25492085.4131551, 6672883.02130187 25492083.3093476, 6672882.81134282 25492086.2683112, 6672906.49048229 25492088.0160572, 6672906.67958765 25492085.4131551)))"
liikennemerkkipilotti_pysakointipaikat.3006,3006,"6222, 6220","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 7-18",,,,,,93.87,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671574.73035075 25492718.8538444, 6671570.11990138 25492710.7933502, 6671566.04026739 25492703.6608858, 6671562.279635 25492697.086135, 6671559.917801 25492692.313249, 6671555.77863784 25492683.1607476, 6671553.37389401 25492684.0784909, 6671561.94348735 25492701.9506033, 6671572.31434136 25492720.3706436, 6671574.73035075 25492718.8538444)), ((6671551.6659569 25492672.7732336, 6671547.543572 25492660.765228, 6671545.804029 25492655.078101, 6671543.44586115 25492646.6720476, 6671540.529302 25492633.525902, 6671538.55511358 25492620.2247715, 6671535.5017816 25492620.4267088, 6671539.05365252 25492639.1445048, 6671544.35326945 25492658.5388476, 6671549.20185515 25492673.6483937, 6671551.6659569 25492672.7732336)))"
liikennemerkkipilotti_pysakointipaikat.2962,2962,"6123, 6132, 4055","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,59.19,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671518.20873818 25492610.683522, 6671492.75767463 25492613.6388328, 6671492.99561202 25492616.0009649, 6671518.53525531 25492612.6182307, 6671518.20873818 25492610.683522)), ((6671477.85849655 25492615.3688863, 6671443.51149397 25492619.3571702, 6671443.77682925 25492622.1462654, 6671478.05520259 25492618.3125, 6671477.85849655 25492615.3688863)))"
liikennemerkkipilotti_pysakointipaikat.4341,4341,"10152, 10155, 10158","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",15,Pitkittäin,5.4,B/C,,83.36,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671324.29128962 25496710.2258441, 6671325.8003 25496719.279649, 6671339.36172472 25496790.5241955, 6671339.45604356 25496792.3206506, 6671341.61387994 25496792.2397792, 6671341.43125779 25496787.3455057, 6671326.56581521 25496709.9137164, 6671324.29128962 25496710.2258441))"
liikennemerkkipilotti_pysakointipaikat.4032,4032,"4132, 13481, 13483, 13485","Unclassified, 521, 855b, Unclassified","Luokittelematon, Pysäköintipaikka, Maksullinen pysäköinti, Luokittelematon","no_text, no_text, 9-21, no_text",4,Pitkittäin,5.4,C,,26.33,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671961.09994853 25497441.0085839, 6671952.71674921 25497416.1926869, 6671951.09209023 25497416.7830361, 6671959.23703788 25497441.6561722, 6671961.09994853 25497441.0085839))"
liikennemerkkipilotti_pysakointipaikat.4229,4229,"21101, 21104, 21105, 21161","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",9,Pitkittäin,5.4,B/C,,53.73,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671931.47515215 25496771.4333137, 6671931.5068039 25496773.9591776, 6671968.29687879 25496771.1696219, 6671967.95561 25496768.440429, 6671931.47515215 25496771.4333137)), ((6671927.20988187 25496771.7832398, 6671909.292506 25496773.253195, 6671909.31270023 25496775.7078366, 6671927.30680565 25496774.1294728, 6671927.20988187 25496771.7832398)))"
liikennemerkkipilotti_pysakointipaikat.3908,3908,"20686, 20799, 20800","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",12,Pitkittäin,5.4,C,,71.25,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671917.25901575 25497029.3379305, 6671886.71677047 25497031.1412336, 6671886.79539869 25497032.8428054, 6671917.29329685 25497030.943535, 6671917.25901575 25497029.3379305)), ((6671881.87791029 25497031.426934, 6671841.83160781 25497033.7913843, 6671841.90687553 25497035.6917108, 6671881.93764964 25497033.0984763, 6671881.87791029 25497031.426934)))"
liikennemerkkipilotti_pysakointipaikat.3284,3284,"14843, 14847, 14850, 14837","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",28,Pitkittäin,5.4,E,,151.64,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673746.31673539 25497467.9434029, 6673747.883925 25497461.50915, 6673750.501156 25497450.888982, 6673752.31905686 25497440.8677338, 6673753.02266889 25497432.8873036, 6673752.890607 25497423.787616, 6673752.16210819 25497417.4650452, 6673750.81876908 25497411.2440282, 6673748.87346876 25497405.1842081, 6673746.3448575 25497399.3436827, 6673743.257178 25497393.778447, 6673702.98449984 25497328.8970119, 6673701.06712883 25497330.0871469, 6673744.40321934 25497400.2331664, 6673748.62350349 25497411.2327767, 6673749.9018665 25497418.135937, 6673750.4679987 25497424.0529315, 6673750.4679987 25497432.7275377, 6673749.57314458 25497441.6943412, 6673748.05737129 25497449.8576022, 6673743.80224867 25497467.2798639, 6673746.31673539 25497467.9434029))"
liikennemerkkipilotti_pysakointipaikat.2803,2803,"16713, 16645, 16716","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,68.78,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671627.411953 25492991.968013, 6671619.611838 25492990.806148, 6671609.710108 25492989.344359, 6671599.52539775 25492988.4223178, 6671590.53689446 25492988.0883928, 6671583.18475596 25492988.016952, 6671577.77868506 25492988.4006272, 6671577.68024881 25492991.3086085, 6671611.33845421 25492991.9287765, 6671627.06816829 25492994.1839326, 6671627.411953 25492991.968013)), ((6671567.66567812 25492989.3030096, 6671560.85545287 25492990.342178, 6671556.05058997 25492991.1344126, 6671547.30770889 25492993.25645, 6671547.96856665 25492995.5934052, 6671557.49660135 25492993.394628, 6671567.41928837 25492991.9851554, 6671567.66567812 25492989.3030096)))"
liikennemerkkipilotti_pysakointipaikat.1092,1092,11998,376,Taksin pysäyttämispaikka,no_text,,,,,,13.03,429,,84,Helsinki/MAKA,2018-11-20,"POLYGON ((6672756.20929 25496817.596366, 6672756.947614 25496832.487104, 6672758.888264 25496831.241067, 6672758.290318 25496819.181491, 6672756.20929 25496817.596366))"
liikennemerkkipilotti_pysakointipaikat.3021,3021,"6818, 6808","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 8-17",,,,,,9.96,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672070.65425772 25492345.1718759, 6672073.01132947 25492335.4783426, 6672071.02384399 25492334.8887046, 6672068.48679333 25492344.7832022, 6672070.65425772 25492345.1718759))"
liikennemerkkipilotti_pysakointipaikat.2976,2976,"17480, 17226, 17479, 17516","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",,,,D,,122.49,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672785.35057305 25498019.2342952, 6672783.39094074 25498019.2342952, 6672785.54589555 25498076.8450117, 6672787.95064179 25498076.7621746, 6672785.35057305 25498019.2342952)), ((6672785.14467533 25498014.8193038, 6672783.64282367 25497977.1482543, 6672781.74733115 25497977.2422702, 6672783.28136677 25498014.8193038, 6672785.14467533 25498014.8193038)), ((6672783.27160594 25497966.902176, 6672782.28344709 25497939.5562213, 6672780.14024621 25497939.6218728, 6672781.30903526 25497966.902176, 6672783.27160594 25497966.902176)))"
liikennemerkkipilotti_pysakointipaikat.4451,4451,"11440, 11443, 11455, 11457","371, 851, 372, 851","Pysäyttäminen kielletty, Voimassaoloaika, Pysäköinti kielletty, Voimassaoloaika","no_text, 7-9, no_text, 9-18  (9-15)",20,Pitkittäin,5.4,,,111.81,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6673562.54465508 25495466.9262032, 6673488.50590798 25495486.4703495, 6673489.03422605 25495488.7599533, 6673563.03520548 25495469.0488857, 6673562.54465508 25495466.9262032)), ((6673485.9311916 25495487.1500022, 6673451.6108002 25495496.2096199, 6673451.97741899 25495498.108631, 6673486.38731126 25495489.2104919, 6673485.9311916 25495487.1500022)))"
liikennemerkkipilotti_pysakointipaikat.3511,3511,"9626, 9651, 9635, 9633","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21 (9-18), no_text, no_text",7,Pitkittäin,5.4,A,,48.02,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672649.81111593 25496452.6604426, 6672641.50686741 25496440.7772209, 6672639.41505679 25496442.0133604, 6672647.96121252 25496454.0230323, 6672649.81111593 25496452.6604426)), ((6672639.31767 25496437.644521, 6672626.08022988 25496418.4728807, 6672624.29385209 25496419.7961713, 6672637.52842603 25496439.0003829, 6672639.31767 25496437.644521)), ((6672620.81639683 25496410.8493287, 6672614.60148804 25496401.848344, 6672612.63616355 25496403.1825573, 6672619.00002251 25496412.362283, 6672620.81639683 25496410.8493287)))"
liikennemerkkipilotti_pysakointipaikat.4215,4215,"19011, 18991","371, 872","Pysäyttäminen kielletty, Tekstillinen lisäkilpi ""Huoltoajo sallittu""","no_text, Ei koske CD-autoja, Gäller ej CD-bilar",2,Pitkittäin,5.4,,,12.23,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671663.82424138 25496586.46852, 6671664.92266968 25496598.7914064, 6671666.94203895 25496598.6362711, 6671666.098999 25496586.2657543, 6671663.82424138 25496586.46852))"
liikennemerkkipilotti_pysakointipaikat.3414,3414,"8719, 8720","371, 872","Pysäyttäminen kielletty, Tekstillinen lisäkilpi ""Huoltoajo sallittu""","no_text, unreadable",2,Pitkittäin,5.4,,,12.16,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672916.96748763 25497315.1566679, 6672918.62478359 25497315.0790535, 6672918.07066552 25497303.2470035, 6672916.36481457 25497303.3268918, 6672916.96748763 25497315.1566679))"
liikennemerkkipilotti_pysakointipaikat.3406,3406,"8283, 8313, 8294, 8295, 8289, 8267","677, 855b, Unclassified, 872, 521a, 826","Pysäköinti, Maksullinen pysäköinti, Luokittelematon, Tekstillinen lisäkilpi ""Huoltoajo sallittu"", Ajoneuvojen sijoitus pysäköintipaikalla, Vaikutusalue nuolen suuntaan","no_text, 9-21(9_18), 4h, unreadable, no_text, no_text",10,Poikittain,3.5,,,36.74,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673369.32083375 25497243.4798539, 6673367.3397461 25497204.6674977, 6673363.58802973 25497204.7841478, 6673364.97596667 25497243.4798539, 6673369.32083375 25497243.4798539))"
liikennemerkkipilotti_pysakointipaikat.3397,3397,"9690, 9694, 9691","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",6,Pitkittäin,5.4,E,,33.02,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673190.76502099 25497539.2686242, 6673192.24116632 25497572.0170094, 6673194.0428572 25497571.9391256, 6673192.47001418 25497539.217599, 6673190.76502099 25497539.2686242))"
liikennemerkkipilotti_pysakointipaikat.3657,3657,"2472, 2473, 2474","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",14,Pitkittäin,5.4,A,,76.79,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672364.20440399 25496069.5913994, 6672300.90852395 25496113.8265247, 6672302.27204858 25496115.7775872, 6672365.48087037 25496071.6033036, 6672364.20440399 25496069.5913994))"
liikennemerkkipilotti_pysakointipaikat.3395,3395,"8481, 8482, 8483, 8485","551, 372, 855a, Unclassified","Yksisuuntainen tie, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, no_text, 9-21, no_text",14,Pitkittäin,5.4,E,,88.76,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6673193.02787161 25497420.2806105, 6673191.40623356 25497420.2806105, 6673193.42422083 25497463.1527191, 6673195.17941274 25497463.0708697, 6673193.02787161 25497420.2806105)), ((6673195.4929541 25497469.3076838, 6673193.71641809 25497469.3076838, 6673193.89904137 25497474.0370668, 6673195.72892969 25497474, 6673195.4929541 25497469.3076838)), ((6673195.9526438 25497478.4395578, 6673194.00861534 25497478.5491318, 6673195.83484816 25497519.2180668, 6673198.00408267 25497519.1200994, 6673195.9526438 25497478.4395578)))"
